,steps,reward_0,reward_1,reward_2,reward_mean,reward_std,reward_smooth
1600,13,24.76629386615104,10.579063849792814,16.154561500564476,17.16663973883611,7.147559069679049,17.16663973883611
3112,21,24.76629386615104,10.579063849792814,16.154561500564476,17.16663973883611,7.147559069679049,17.16663973883611
0,22,24.76629386615104,10.579063849792814,16.154561500564476,17.16663973883611,7.147559069679049,17.16663973883611
1601,27,24.76629386615104,5.656051711190682,16.154561500564476,15.525635692635399,9.570632140000754,16.69290724283035
3113,39,24.76629386615104,5.656051711190682,15.219111401322213,15.21381899288798,9.555122176743543,16.33512838193709
1602,41,24.76629386615104,8.135668119372824,15.219111401322213,16.04035779561536,8.345673274964415,16.27294525257802
1,47,7.086061016589016,8.135668119372824,15.219111401322213,10.14694684576135,4.4238624217497415,15.114670583399558
1603,58,7.086061016589016,16.280411459006665,15.219111401322213,12.861861292305965,5.030058754312839,14.725261177540407
3114,60,7.086061016589016,16.280411459006665,19.303917700113452,14.223463391903044,6.363354618269885,14.644770359052629
3115,71,7.086061016589016,16.280411459006665,8.792029731196447,10.719500735597377,4.890846385759948,14.053658765570628
2,77,13.449180397357887,16.280411459006665,8.792029731196447,12.840540529187,3.781110563339267,13.880555497376239
1604,78,13.449180397357887,10.154700152348187,8.792029731196447,10.798636760300843,2.39442140153486,13.460711394822516
3116,79,13.449180397357887,10.154700152348187,6.07608992110717,9.893323490271081,3.6934880685273215,12.993868635868278
3,89,3.6168235657614907,10.154700152348187,6.07608992110717,6.615871213072283,3.30219327837216,12.187930487815372
1605,92,3.6168235657614907,13.004433455485675,13.176500088698242,9.932585703315135,5.470287036818399,11.91154237917925
1606,100,3.6168235657614907,5.095722428621687,13.176500088698242,7.296348694360472,5.145767268045806,11.360994815978216
4,101,9.097437373601624,5.095722428621687,13.176500088698242,9.123219963640517,4.040450526161646,11.100319907040118
3117,105,9.097437373601624,5.095722428621687,8.68938864954709,7.627516150590132,2.2020696011365675,10.704196170924487
5,111,6.512282833588239,5.095722428621687,8.68938864954709,6.765797970585671,1.810196583349495,10.26326577075364
3118,115,6.512282833588239,5.095722428621687,8.511172316867976,6.706392526359299,1.7159788502196502,9.871597852388103
1607,119,6.512282833588239,8.140320028481776,8.511172316867976,7.72125839297933,1.0632964226188628,9.638282709527713
6,120,6.52566524404536,8.140320028481776,8.511172316867976,7.725719196465037,1.055689334742417,9.433482973011673
7,131,7.218317957671612,8.140320028481776,8.511172316867976,7.956603434340455,0.6657191140003607,9.277187862141735
3119,137,7.218317957671612,8.140320028481776,16.918958501728447,10.759198829293945,5.354390849691248,9.432382534871973
1608,143,7.218317957671612,12.375483399203087,16.918958501728447,12.170919952867715,4.853554511276481,9.716466010492981
8,144,8.853847443877257,12.375483399203087,16.918958501728447,12.716096448269596,4.043329943346718,10.025012259957801
3120,146,8.853847443877257,12.375483399203087,6.216717230573989,9.148682691218111,3.0899508163186824,9.93555372675169
9,154,6.781377383925693,12.375483399203087,6.216717230573989,8.457859337900922,3.4044887995800543,9.785731493833568
3121,155,6.781377383925693,12.375483399203087,5.928594201467388,8.361818328198723,3.5019909002910445,9.642244695900326
1609,160,6.781377383925693,9.457797423534334,5.928594201467388,7.389256336309138,1.8414549848489439,9.41646139715444
1610,171,6.781377383925693,6.1642617128413875,5.928594201467388,6.29141109941149,0.4403805331185674,9.104835327064185
3122,173,6.781377383925693,6.1642617128413875,19.42926000847576,10.791633035080949,7.486765505644791,9.272290358724455
1611,182,6.781377383925693,6.393281555905071,19.42926000847576,10.867972982768842,7.416830943559047,9.430063293297577
3123,184,6.781377383925693,6.393281555905071,7.881354908484199,7.0186712827716535,0.7718949873435889,9.192501151008035
1612,189,6.781377383925693,4.573585325001304,7.881354908484199,6.4121058724703985,1.684519513461631,8.919481158704167
3124,192,6.781377383925693,4.573585325001304,5.415868104305011,5.590276937744004,1.1141814370866896,8.593534738729142
10,194,44.30814672871399,4.573585325001304,5.415868104305011,18.099200052673435,22.701520311880675,9.521713291326556
